ParkCode	Date	Type#	Day	VisitTeam	VisitLeague	VisitGame#	HomeTeam	HomeLeague	HomeGame#	VisitScore	HomeScore	GameLength	Winner	PARK_NAME	RUNS	HR	H	2B	3B	BB
SEA03	20160530	0	Mon	SDN	NL	52	SEA	AL	50	3	9	51	SEA	"Safeco Field(Seattle, Washington)"	0.941	1.158	0.953	0.963	0.538	1.029
TOR02	20160530	0	Mon	NYA	AL	50	TOR	AL	53	2	4	51	TOR	"Rogers Centre(Toronto, Ontario)"	1.156	1.01	1.083	1.3	1.1	1.039
PHO01	20160530	0	Mon	HOU	AL	52	ARI	NL	53	8	3	54	HOU	"Chase Field(Phoenix, Arizona)"	1.225	1.292	1.139	1.145	2.032	1.042
ATL02	20160530	0	Mon	SFN	NL	53	ATL	NL	50	3	5	51	ATL	"Turner Field(Cumberland, Georgia)"	1.059	0.77	1.009	0.9	0.936	1.135
CHI11	20160530	0	Mon	LAN	NL	52	CHN	NL	49	0	2	51	CHN	"Wrigley Field(Chicago, Illinois)"	0.874	0.819	0.928	0.93	1.045	1.066
DEN02	20160530	0	Mon	CIN	NL	51	COL	NL	50	11	8	54	CIN	"Coors Field(Denver, Colorado)"	1.368	1.265	1.231	1.405	1.39	1.078
MIA02	20160530	0	Mon	PIT	NL	50	MIA	NL	51	10	0	54	PIT	"Marlins Park(Miami, Florida)"	0.834	0.793	0.868	0.963	0.667	0.967
MIL06	20160530	0	Mon	SLN	NL	52	MIL	NL	51	6	0	54	SLN	"Miller Park(Milwaukee, Wisconsin)"	0.972	1.126	0.961	1	1.037	0.977
NYC20	20160530	0	Mon	CHA	AL	52	NYN	NL	50	0	1	51	NYN	"Citi Field(New York, New York)"	0.988	1.09	0.887	0.838	0.455	1.168
PHI13	20160530	0	Mon	WAS	NL	52	PHI	NL	51	4	3	54	WAS	"Citizens Bank Park(Philadelphia, Pennsylvania)"	0.84	1.149	0.924	0.821	0.889	0.969
ANA01	20160531	0	Tue	DET	AL	51	ANA	AL	52	9	11	51	ANA	"Angel Stadium of Anaheim(Anaheim, California)"	0.91	1.056	0.936	0.828	0.6	0.958
BAL12	20160531	0	Tue	BOS	AL	52	BAL	AL	50	6	2	54	BOS	"Oriole Park at Camden Yards(Baltimore, Maryland)"	0.953	1.009	0.967	0.834	0.846	0.975
CLE08	20160531	0	Tue	TEX	AL	52	CLE	AL	50	7	3	54	TEX	"Progressive Field(Cleveland, Ohio)"	1.207	1.168	1.115	1.299	0.507	1.119
KAN06	20160531	0	Tue	TBA	AL	50	KCA	AL	51	5	10	51	KCA	"Kauffman Stadium(Kansas City, Missouri)"	1.171	0.783	1.092	1.256	1.571	1.039
OAK01	20160531	0	Tue	MIN	AL	51	OAK	AL	53	4	7	51	OAK	"Oakland Coliseum(Oakland, California)"	0.829	0.727	0.921	0.954	1.043	0.872
SEA03	20160531	0	Tue	SDN	NL	53	SEA	AL	51	4	16	51	SEA	"Safeco Field(Seattle, Washington)"	0.941	1.158	0.953	0.963	0.538	1.029
TOR02	20160531	0	Tue	NYA	AL	51	TOR	AL	54	1	4	51	TOR	"Rogers Centre(Toronto, Ontario)"	1.156	1.01	1.083	1.3	1.1	1.039
PHO01	20160531	0	Tue	HOU	AL	53	ARI	NL	54	8	5	54	HOU	"Chase Field(Phoenix, Arizona)"	1.225	1.292	1.139	1.145	2.032	1.042
ATL02	20160531	0	Tue	SFN	NL	54	ATL	NL	51	4	0	54	SFN	"Turner Field(Cumberland, Georgia)"	1.059	0.77	1.009	0.9	0.936	1.135
CHI11	20160531	0	Tue	LAN	NL	53	CHN	NL	50	5	0	54	LAN	"Wrigley Field(Chicago, Illinois)"	0.874	0.819	0.928	0.93	1.045	1.066
