ParkCode	Date	Type#	Day	VisitTeam	VisitLeague	VisitGame#	HomeTeam	HomeLeague	HomeGame#	VisitScore	HomeScore	GameLength	Winner	Home/Away	PARK NAME	RUNS	HR	H	2B	3B	BB
TOR02	20150414	0	Tue	TBA	AL	8	TOR	AL	8	3	2	54	TBA	Visit	"Rogers Centreæ(Toronto, Ontario)"	0.906	1.005	0.926	1.076	0.958	0.998
ATL02	20150414	0	Tue	MIA	NL	8	ATL	NL	8	8	2	54	MIA	Visit	"Turner Fieldæ(Cumberland, Georgia)"	0.937	0.72	0.915	0.971	0.759	1.114
CHI11	20150414	0	Tue	CIN	NL	8	CHN	NL	7	3	2	54	CIN	Visit	"Wrigley Fieldæ(Chicago, Illinois)"	0.95	1.276	0.934	0.794	1.094	1.029
LOS03	20150414	0	Tue	SEA	AL	8	LAN	NL	8	5	6	52	LAN	Home	"Dodger Stadiumæ(Los Angeles, California)"	0.918	1	0.948	1.059	0.643	0.791
NYC20	20150414	0	Tue	PHI	NL	8	NYN	NL	8	5	6	51	NYN	Home	"Citi Fieldæ(New York, New York)"	0.87	0.994	0.912	0.934	0.905	0.998
PIT08	20150414	0	Tue	DET	AL	8	PIT	NL	8	2	0	54	DET	Visit	"PNC Parkæ(Pittsburgh, Pennsylvania)"	0.933	1.083	0.962	0.874	0.821	1
SAN02	20150414	0	Tue	ARI	NL	8	SDN	NL	9	1	5	51	SDN	Home	"Petco Parkæ(San Diego, California)"	0.931	1.085	0.966	0.956	0.792	0.992
SFO03	20150414	0	Tue	COL	NL	8	SFN	NL	9	4	1	54	COL	Visit	"AT&T Parkæ(San Francisco, California)"	0.845	0.599	0.917	0.841	1.647	0.987
BAL12	20150415	0	Wed	NYA	AL	9	BAL	AL	9	5	7	51	BAL	Home	"Oriole Park at Camden Yardsæ(Baltimore, Maryland)"	1.228	1.415	1.121	0.978	0.775	0.936
BOS07	20150415	0	Wed	WAS	NL	9	BOS	AL	9	10	5	54	WAS	Visit	"Fenway Parkæ(Boston, Massachusetts)"	1.191	0.971	1.103	1.281	1.031	0.92
CLE08	20150415	0	Wed	CHA	AL	8	CLE	AL	8	2	4	51	CLE	Home	"Progressive Fieldæ(Cleveland, Ohio)"	1.261	0.986	1.169	1.44	0.774	1.115
HOU03	20150415	0	Wed	OAK	AL	10	HOU	AL	9	1	6	51	HOU	Home	"Minute Maid Parkæ(Houston, Texas)"	0.927	1.1	0.954	0.963	1.52	0.951
MIN04	20150415	0	Wed	KCA	AL	8	MIN	AL	8	1	3	51	MIN	Home	"Target Fieldæ(Minneapolis, Minnesota)"	0.994	1.058	1.039	0.979	0.816	0.954
ARL02	20150415	0	Wed	ANA	AL	9	TEX	AL	10	10	2	54	ANA	Visit	"Globe Life Park in Arlingtonæ(Arlington, Texas)"	1.141	1.066	1.107	1.102	0.946	1.133
TOR02	20150415	0	Wed	TBA	AL	9	TOR	AL	9	7	12	51	TOR	Home	"Rogers Centreæ(Toronto, Ontario)"	0.906	1.005	0.926	1.076	0.958	0.998
ATL02	20150415	0	Wed	MIA	NL	9	ATL	NL	9	6	2	54	MIA	Visit	"Turner Fieldæ(Cumberland, Georgia)"	0.937	0.72	0.915	0.971	0.759	1.114
CHI11	20150415	0	Wed	CIN	NL	9	CHN	NL	8	0	5	51	CHN	Home	"Wrigley Fieldæ(Chicago, Illinois)"	0.95	1.276	0.934	0.794	1.094	1.029
LOS03	20150415	0	Wed	SEA	AL	9	LAN	NL	9	2	5	51	LAN	Home	"Dodger Stadiumæ(Los Angeles, California)"	0.918	1	0.948	1.059	0.643	0.791
NYC20	20150415	0	Wed	PHI	NL	9	NYN	NL	9	1	6	51	NYN	Home	"Citi Fieldæ(New York, New York)"	0.87	0.994	0.912	0.934	0.905	0.998
PIT08	20150415	0	Wed	DET	AL	9	PIT	NL	9	1	0	54	DET	Visit	"PNC Parkæ(Pittsburgh, Pennsylvania)"	0.933	1.083	0.962	0.874	0.821	1
SAN02	20150415	0	Wed	ARI	NL	9	SDN	NL	10	2	3	51	SDN	Home	"Petco Parkæ(San Diego, California)"	0.931	1.085	0.966	0.956	0.792	0.992
SFO03	20150415	0	Wed	COL	NL	9	SFN	NL	10	4	2	54	COL	Visit	"AT&T Parkæ(San Francisco, California)"	0.845	0.599	0.917	0.841	1.647	0.987
STL10	20150415	0	Wed	MIL	NL	8	SLN	NL	7	2	4	51	SLN	Home	"Busch Stadiumæ(St. Louis, Missouri)"	0.931	0.857	1.055	1.008	1.031	0.924
MIN04	20150416	0	Thu	KCA	AL	9	MIN	AL	9	5	8	51	MIN	Home	"Target Fieldæ(Minneapolis, Minnesota)"	0.994	1.058	1.039	0.979	0.816	0.954
TOR02	20150416	0	Thu	TBA	AL	10	TOR	AL	10	4	2	54	TBA	Visit	"Rogers Centreæ(Toronto, Ontario)"	0.906	1.005	0.926	1.076	0.958	0.998
NYC20	20150416	0	Thu	MIA	NL	10	NYN	NL	10	5	7	51	NYN	Home	"Citi Fieldæ(New York, New York)"	0.87	0.994	0.912	0.934	0.905	0.998
SFO03	20150416	0	Thu	ARI	NL	10	SFN	NL	11	7	6	72	ARI	Visit	"AT&T Parkæ(San Francisco, California)"	0.845	0.599	0.917	0.841	1.647	0.987
STL10	20150416	0	Thu	MIL	NL	9	SLN	NL	8	0	4	51	SLN	Home	"Busch Stadiumæ(St. Louis, Missouri)"	0.931	0.857	1.055	1.008	1.031	0.924
WAS11	20150416	0	Thu	PHI	NL	10	WAS	NL	10	2	5	51	WAS	Home	"Nationals Parkæ(Washington, D.C.)"	1	1.025	0.992	1.049	0.5	1.043
BOS07	20150417	0	Fri	BAL	AL	10	BOS	AL	10	2	3	52	BOS	Home	"Fenway Parkæ(Boston, Massachusetts)"	1.191	0.971	1.103	1.281	1.031	0.92
DET05	20150417	0	Fri	CHA	AL	9	DET	AL	10	1	2	52	DET	Home	"Comerica Parkæ(Detroit, Michigan)"	0.902	0.791	0.966	0.977	1.353	0.988
HOU03	20150417	0	Fri	ANA	AL	10	HOU	AL	10	6	3	54	ANA	Visit	"Minute Maid Parkæ(Houston, Texas)"	0.927	1.1	0.954	0.963	1.52	0.951
KAN06	20150417	0	Fri	OAK	AL	11	KCA	AL	10	4	6	51	KCA	Home	"Kauffman Stadiumæ(Kansas City, Missouri)"	1.019	0.793	0.995	1.221	1.455	0.892
