ParkCode	Date	Type#	Day	VisitTeam	VisitLeague	VisitGame#	HomeTeam	HomeLeague	HomeGame#	VisitScore	HomeScore	GameLength	Winner	PARK NAME	RUNS	HR	H	2B	3B	BB
SAN02	20150723	0	Thu	MIA	NL	96	SDN	NL	96	4	0	54	MIA	"Petco Park(San Diego, California)"	0.931	1.085	0.966	0.956	0.792	0.992
STL10	20150723	0	Thu	KCA	AL	94	SLN	NL	95	3	4	51	SLN	"Busch Stadium(St. Louis, Missouri)"	0.931	0.857	1.055	1.008	1.031	0.924
ANA01	20150724	0	Fri	TEX	AL	95	ANA	AL	96	4	2	54	TEX	"Angel Stadium of Anaheim(Anaheim, California)"	0.861	0.921	0.939	0.863	0.739	1.025
BOS07	20150724	0	Fri	DET	AL	96	BOS	AL	97	1	2	64	BOS	"Fenway Park(Boston, Massachusetts)"	1.191	0.971	1.103	1.281	1.031	0.92
CLE08	20150724	0	Fri	CHA	AL	94	CLE	AL	95	6	0	54	CHA	"Progressive Field(Cleveland, Ohio)"	1.261	0.986	1.169	1.44	0.774	1.115
KAN06	20150724	0	Fri	HOU	AL	98	KCA	AL	95	4	0	54	HOU	"Kauffman Stadium(Kansas City, Missouri)"	1.019	0.793	0.995	1.221	1.455	0.892
MIN04	20150724	0	Fri	NYA	AL	95	MIN	AL	96	1	10	51	MIN	"Target Field(Minneapolis, Minnesota)"	0.994	1.058	1.039	0.979	0.816	0.954
SEA03	20150724	0	Fri	TOR	AL	98	SEA	AL	97	2	5	51	SEA	"Safeco Field(Seattle, Washington)"	0.878	0.905	0.917	0.829	0.8	0.954
STP01	20150724	0	Fri	BAL	AL	95	TBA	AL	98	1	3	51	TBA	"Tropicana Field(St. Petersburg, Florida)"	0.94	0.962	0.939	0.832	0.704	0.895
PHO01	20150724	0	Fri	MIL	NL	97	ARI	NL	95	2	1	54	MIL	"Chase Field(Phoenix, Arizona)"	1.062	0.856	1.047	1.207	1.786	1.025
CHI11	20150724	0	Fri	PHI	NL	98	CHN	NL	95	5	3	60	PHI	"Wrigley Field(Chicago, Illinois)"	0.95	1.276	0.934	0.794	1.094	1.029
DEN02	20150724	0	Fri	CIN	NL	94	COL	NL	94	5	6	53	COL	"Coors Field(Denver, Colorado)"	1.436	1.21	1.301	1.235	2	1.057
NYC20	20150724	0	Fri	LAN	NL	98	NYN	NL	97	7	2	54	LAN	"Citi Field(New York, New York)"	0.87	0.994	0.912	0.934	0.905	0.998
PIT08	20150724	0	Fri	WAS	NL	95	PIT	NL	96	5	7	51	PIT	"PNC Park(Pittsburgh, Pennsylvania)"	0.933	1.083	0.962	0.874	0.821	1
SAN02	20150724	0	Fri	MIA	NL	97	SDN	NL	97	1	3	51	SDN	"Petco Park(San Diego, California)"	0.931	1.085	0.966	0.956	0.792	0.992
SFO03	20150724	0	Fri	OAK	AL	98	SFN	NL	96	3	9	51	SFN	"AT&T Park(San Francisco, California)"	0.845	0.599	0.917	0.841	1.647	0.987
STL10	20150724	0	Fri	ATL	NL	96	SLN	NL	96	2	4	51	SLN	"Busch Stadium(St. Louis, Missouri)"	0.931	0.857	1.055	1.008	1.031	0.924
ANA01	20150725	0	Sat	TEX	AL	96	ANA	AL	97	7	6	54	TEX	"Angel Stadium of Anaheim(Anaheim, California)"	0.861	0.921	0.939	0.863	0.739	1.025
BOS07	20150725	0	Sat	DET	AL	97	BOS	AL	98	5	1	54	DET	"Fenway Park(Boston, Massachusetts)"	1.191	0.971	1.103	1.281	1.031	0.92
CLE08	20150725	0	Sat	CHA	AL	95	CLE	AL	96	10	3	54	CHA	"Progressive Field(Cleveland, Ohio)"	1.261	0.986	1.169	1.44	0.774	1.115
KAN06	20150725	0	Sat	HOU	AL	99	KCA	AL	96	1	2	59	KCA	"Kauffman Stadium(Kansas City, Missouri)"	1.019	0.793	0.995	1.221	1.455	0.892
