index,Date,Visiting_Team,Visiting_League,Visiting_Team_Game,Home_Team,Home_League,Home_Team_Game,Visiting_Score,Home_Score,Length_in_Outs,Park_Code,Visit_Bats,Visit_Hits,Visit_Doubles,Visit_Triples,Visit_Homeruns,Visit_RBI,Visit_Putouts,Visit_Assist,Visit_Errors,Visit_Passed_Balls,Visit_Double_Plays,Visit_Tripple_Plays,Home_bats,Home_Hits,Home_Doubles,Home_Triples,Home_Homeruns,Home_RBI,Home_Putouts,Home_Assist,Home_Errors,Home_Passed_Balls,Home_Double_Plays,Home_Triple_Plays,bln_home_win,diff_hr,diff_hits,diff_doubles,diff_triples,diff_rbi,diff_putouts,diff_errors,diff_assist,diff_at_bats
54,20170407,SFN,NL,5,SDN,NL,5,6.0,7.0,51,SAN02,33,8,2,0,2,5,24,10,2,0,1,0,31,8,2,0,2,7,27,15,0,0,2,0,1,1,0,0,0,2,3,-2,5,-2
55,20170407,CIN,NL,4,SLN,NL,4,2.0,0.0,54,STL10,32,7,2,0,1,2,27,9,0,0,0,0,28,2,0,0,0,0,27,9,0,0,0,0,0,-2,-5,-2,0,-2,0,0,0,-4
56,20170407,SEA,AL,5,ANA,AL,5,1.0,5.0,51,ANA01,33,5,0,0,0,1,24,8,1,0,2,0,33,11,1,0,2,5,27,5,1,0,0,0,1,4,6,1,0,4,3,0,-3,0
57,20170407,NYA,AL,4,BAL,AL,3,5.0,6.0,51,BAL12,35,10,1,0,2,5,24,6,2,0,0,0,31,7,1,0,2,6,27,13,0,0,1,0,1,1,-3,0,0,1,3,-2,7,-4
58,20170407,MIN,AL,4,CHA,AL,3,3.0,1.0,54,CHI12,33,6,3,0,0,2,27,2,0,0,0,0,34,7,1,0,0,1,27,11,3,0,2,0,0,-2,1,-2,0,-1,0,3,9,1
59,20170407,BOS,AL,3,DET,AL,3,5.0,6.0,51,DET05,37,10,3,0,1,5,24,10,0,0,3,0,27,8,1,1,1,6,27,7,1,0,1,0,1,1,-2,-2,1,1,3,1,-3,-10
60,20170407,KCA,AL,4,HOU,AL,5,5.0,1.0,54,HOU03,35,10,2,0,1,4,27,10,0,0,3,0,30,6,1,0,0,1,27,11,1,1,2,0,0,-4,-4,-1,0,-3,0,1,1,-5
61,20170407,TOR,AL,4,TBA,AL,5,8.0,10.0,51,STP01,38,11,4,0,2,8,24,3,0,0,1,0,35,13,4,0,1,10,27,8,1,1,0,0,1,2,2,0,0,2,3,1,5,-3
62,20170407,OAK,AL,5,TEX,AL,4,5.0,10.0,51,ARL02,32,6,1,0,2,5,24,6,1,0,0,0,36,11,4,0,2,10,27,11,1,0,2,0,1,5,5,3,0,5,3,0,5,4
63,20170408,CLE,AL,5,ARI,NL,6,2.0,11.0,51,PHO01,33,7,3,0,0,2,24,8,0,0,1,0,38,15,3,1,1,10,27,13,0,0,1,0,1,9,8,0,1,8,3,0,5,5
64,20170408,LAN,NL,6,COL,NL,6,2.0,4.0,51,DEN02,32,7,2,0,1,2,24,9,0,0,0,0,33,9,1,1,3,4,27,13,0,0,1,0,1,2,2,-1,1,2,3,0,4,1
65,20170408,CHN,NL,5,MIL,NL,6,11.0,6.0,54,MIL06,43,17,6,0,0,11,27,7,0,0,0,0,34,7,1,0,3,6,27,11,0,1,1,0,0,-5,-10,-5,0,-5,0,0,4,-9
66,20170408,MIA,NL,5,NYN,NL,5,8.0,1.0,54,NYC20,39,13,1,1,1,8,27,7,0,0,0,0,31,3,0,0,1,1,27,7,1,0,0,0,0,-7,-10,-1,-1,-7,0,1,0,-8
67,20170408,WAS,NL,5,PHI,NL,5,3.0,17.0,51,PHI13,34,10,2,0,0,3,24,5,2,0,1,0,37,15,3,3,2,16,27,9,0,0,2,0,1,14,5,1,3,13,3,-2,4,3
68,20170408,ATL,NL,5,PIT,NL,4,4.0,6.0,51,PIT08,34,11,2,1,0,4,24,14,2,3,2,0,33,10,1,0,0,3,27,13,1,0,4,0,1,2,-1,-1,-1,-1,3,-1,-1,-1
69,20170408,SFN,NL,6,SDN,NL,6,1.0,2.0,51,SAN02,32,5,2,0,0,1,24,8,1,0,0,0,30,6,3,0,0,2,27,12,0,0,0,0,1,1,1,1,0,1,3,-1,4,-2
70,20170408,CIN,NL,5,SLN,NL,5,4.0,10.0,51,STL10,33,7,2,1,2,4,24,12,0,0,0,0,33,10,2,0,2,10,27,10,0,0,1,0,1,6,3,0,-1,6,3,0,-2,0
71,20170408,SEA,AL,6,ANA,AL,6,4.0,5.0,51,ANA01,33,8,2,0,1,4,24,9,1,0,1,0,35,13,2,0,2,5,27,8,0,0,1,0,1,1,5,0,0,1,3,-1,-1,2
72,20170408,NYA,AL,5,BAL,AL,4,4.0,5.0,51,BAL12,34,9,1,0,0,3,24,8,0,0,1,0,32,10,2,0,0,5,27,7,1,0,1,0,1,1,1,1,0,2,3,1,-1,-2
73,20170408,MIN,AL,5,CHA,AL,4,2.0,6.0,51,CHI12,35,9,4,0,1,2,24,13,2,0,3,0,30,8,1,1,2,5,27,11,0,0,1,0,1,4,-1,-3,1,3,3,-2,-2,-5
74,20170408,BOS,AL,4,DET,AL,4,1.0,4.0,51,DET05,30,6,2,0,0,1,24,8,0,0,1,0,26,5,2,0,2,4,27,9,0,0,2,0,1,3,-1,0,0,3,3,0,1,-4
75,20170408,KCA,AL,5,HOU,AL,6,7.0,3.0,54,HOU03,32,7,1,0,3,7,27,16,0,0,3,0,32,9,1,0,1,3,27,14,1,0,1,0,0,-4,2,0,0,-4,0,1,-2,0
76,20170408,TOR,AL,5,TBA,AL,6,2.0,3.0,65,STP01,35,5,0,0,0,2,32,10,1,0,0,0,39,8,1,0,0,3,33,14,0,0,2,0,1,1,3,1,0,1,1,-1,4,4
