Date	Visiting Team	Visiting League	Visiting Team Game	Home Team	Home League	Home Team Game	Visiting Score	Home Score	Length in Outs	Park Code	Visit Bats	Visit Hits	Visit Doubles	Visit Triples	Visit Homeruns	Visit RBI	Visit Putouts	Visit Assist	Visit Errors	Visit Passed Balls	Visit Double Plays	Visit Tripple Plays	Home bats	Home Hits	Home Doubles	Home Triples	Home Homeruns	Home RBI	Home Putouts	Home Assist	Home Errors	Home Passed Balls	Home Double Plays	Home Triple Plays
20150413	TBA	AL	7	TOR	AL	7	2	1	54	TOR02	30	3	0	0	0	2	27	12	0	0	1	0	28	2	1	0	0	1	27	4	0	0	0	0
20150413	MIA	NL	7	ATL	NL	7	2	3	51	ATL02	31	6	2	0	0	2	24	9	1	0	1	0	28	7	3	0	0	2	27	11	0	0	1	0
20150413	CIN	NL	7	CHN	NL	6	6	7	58	CHI11	42	13	4	1	0	6	28	15	0	0	0	0	36	10	1	0	3	7	30	11	1	1	0	0
20150413	SEA	AL	7	LAN	NL	7	5	6	59	LOS03	35	6	0	0	4	5	29	11	0	0	0	0	37	9	3	0	1	6	30	7	0	0	0	0
20150413	PHI	NL	7	NYN	NL	7	0	2	51	NYC20	31	7	0	0	0	0	24	3	2	0	0	0	30	6	1	1	0	2	27	9	0	0	2	0
20150413	DET	AL	7	PIT	NL	7	4	5	51	PIT08	32	7	2	0	1	3	24	6	0	0	0	0	31	9	1	0	3	5	27	11	0	0	2	0
20150413	ARI	NL	7	SDN	NL	8	8	4	54	SAN02	39	12	3	1	0	7	27	10	0	0	0	0	34	9	2	0	1	4	27	11	1	1	0	0
20150413	COL	NL	7	SFN	NL	8	2	0	54	SFO03	35	11	2	0	0	1	27	13	0	0	1	0	31	5	1	0	0	0	27	15	1	0	2	0
20150413	MIL	NL	7	SLN	NL	6	5	4	54	STL10	33	8	3	0	0	4	27	14	2	0	0	0	37	9	2	0	0	3	27	13	2	0	1	0
20150414	NYA	AL	8	BAL	AL	8	3	4	51	BAL12	34	6	3	0	0	2	24	11	2	0	2	0	29	7	0	1	1	4	27	11	1	0	0	0
20150414	WAS	NL	8	BOS	AL	8	7	8	51	BOS07	36	10	1	1	0	7	24	13	3	0	1	0	36	11	1	0	1	6	27	12	1	0	0	0
20150414	CHA	AL	7	CLE	AL	7	4	1	54	CLE08	33	8	1	0	1	4	27	8	2	1	1	0	31	3	1	0	0	1	27	12	0	0	0	0
20150414	OAK	AL	9	HOU	AL	8	4	0	54	HOU03	31	7	3	0	0	4	27	13	0	0	2	0	33	8	0	0	0	0	27	11	0	0	2	0
20150414	ANA	AL	8	TEX	AL	9	2	8	51	ARL02	32	7	2	0	0	2	24	8	0	0	1	0	33	11	3	0	2	8	27	8	1	0	1	0
20150414	TBA	AL	8	TOR	AL	8	3	2	54	TOR02	31	7	1	0	1	3	27	10	0	0	0	0	35	8	1	0	0	2	27	6	1	1	0	0
20150414	MIA	NL	8	ATL	NL	8	8	2	54	ATL02	34	11	3	0	0	8	27	7	1	0	0	0	35	8	1	0	2	2	27	9	0	0	1	0
20150414	CIN	NL	8	CHN	NL	7	3	2	54	CHI11	33	7	2	0	0	3	27	9	0	0	1	0	31	5	0	0	1	2	27	14	0	0	0	0
20150414	SEA	AL	8	LAN	NL	8	5	6	52	LOS03	36	10	1	0	2	5	25	11	1	0	1	0	36	12	2	0	2	6	27	12	0	1	0	0
20150414	PHI	NL	8	NYN	NL	8	5	6	51	NYC20	33	7	1	0	4	5	24	7	0	0	1	0	35	12	4	0	1	6	27	7	1	0	0	0
20150414	DET	AL	8	PIT	NL	8	2	0	54	PIT08	35	9	2	0	0	2	27	13	0	0	1	0	29	3	0	0	0	0	27	11	0	0	0	0
20150414	ARI	NL	8	SDN	NL	9	1	5	51	SAN02	28	3	2	0	0	1	24	9	0	0	0	0	32	8	3	1	1	4	27	12	1	0	3	0
20150414	COL	NL	8	SFN	NL	9	4	1	54	SFO03	32	9	2	1	0	3	27	11	0	0	0	0	32	6	0	0	0	1	27	14	0	0	1	0
20150415	NYA	AL	9	BAL	AL	9	5	7	51	BAL12	33	8	4	0	1	4	24	7	0	0	1	0	37	15	1	1	2	7	27	5	0	0	1	0
20150415	WAS	NL	9	BOS	AL	9	10	5	54	BOS07	38	12	4	1	2	10	27	10	1	0	0	0	35	7	2	1	1	5	27	11	0	0	1	0
20150415	CHA	AL	8	CLE	AL	8	2	4	51	CLE08	33	6	1	0	0	2	24	7	0	0	1	0	30	8	3	0	0	4	27	4	0	0	0	0
20150415	OAK	AL	10	HOU	AL	9	1	6	51	HOU03	35	8	1	1	0	1	24	6	0	0	0	0	30	8	2	1	3	6	27	7	0	0	0	0
20150415	KCA	AL	8	MIN	AL	8	1	3	51	MIN04	34	9	0	0	0	1	24	9	1	0	0	0	28	5	0	0	1	3	27	13	0	0	2	0
20150415	ANA	AL	9	TEX	AL	10	10	2	54	ARL02	39	13	4	0	0	10	27	5	0	0	0	0	33	6	1	0	2	2	27	12	1	0	0	0
20150415	TBA	AL	9	TOR	AL	9	7	12	51	TOR02	38	11	2	0	2	7	24	9	0	1	2	0	36	14	3	0	3	12	27	10	1	0	1	0
20150415	MIA	NL	9	ATL	NL	9	6	2	54	ATL02	30	8	2	0	2	6	27	10	1	0	1	0	30	3	0	0	2	2	27	15	0	0	2	0
20150415	CIN	NL	9	CHN	NL	8	0	5	51	CHI11	30	4	0	0	0	0	24	9	2	0	1	0	32	11	2	0	1	5	27	9	0	0	1	0
20150415	SEA	AL	9	LAN	NL	9	2	5	51	LOS03	34	9	1	0	1	2	24	8	1	0	1	0	31	9	2	0	0	5	27	10	0	0	0	0
20150415	PHI	NL	9	NYN	NL	9	1	6	51	NYC20	35	9	3	1	0	1	24	9	1	0	0	0	37	12	2	0	2	5	27	13	1	0	2	0
20150415	DET	AL	9	PIT	NL	9	1	0	54	PIT08	30	5	0	0	1	1	27	9	0	0	0	0	28	2	0	0	0	0	27	11	0	0	1	0
20150415	ARI	NL	9	SDN	NL	10	2	3	51	SAN02	33	9	1	0	1	2	24	7	0	0	2	0	29	9	2	0	1	3	27	11	0	0	2	0
20150415	COL	NL	9	SFN	NL	10	4	2	54	SFO03	32	6	0	0	1	4	27	10	1	0	1	0	33	7	0	1	1	2	27	10	1	0	0	0
20150415	MIL	NL	8	SLN	NL	7	2	4	51	STL10	37	10	2	0	0	2	24	7	1	0	0	0	34	10	2	0	0	4	27	9	1	0	0	0
20150416	KCA	AL	9	MIN	AL	9	5	8	51	MIN04	37	10	3	0	1	5	24	7	1	0	1	0	37	14	2	0	2	7	27	12	2	0	0	0
20150416	TBA	AL	10	TOR	AL	10	4	2	54	TOR02	33	8	4	0	1	4	27	6	0	0	1	0	29	4	1	0	0	2	27	12	1	0	2	0
20150416	MIA	NL	10	NYN	NL	10	5	7	51	NYC20	33	7	1	1	2	4	24	10	0	0	1	0	30	9	2	0	1	7	27	12	1	0	1	0
20150416	ARI	NL	10	SFN	NL	11	7	6	72	SFO03	47	11	2	0	3	7	36	20	1	0	0	0	46	11	1	1	1	6	36	13	1	0	0	0
20150416	MIL	NL	9	SLN	NL	8	0	4	51	STL10	34	6	0	0	0	0	24	5	1	0	1	0	33	11	5	0	0	4	27	8	1	0	0	0
20150416	PHI	NL	10	WAS	NL	10	2	5	51	WAS11	31	5	1	1	0	2	24	10	0	0	1	0	29	6	2	0	2	5	27	5	1	0	1	0
20150417	BAL	AL	10	BOS	AL	10	2	3	52	BOS07	32	5	1	0	1	1	25	13	0	0	2	0	26	4	0	0	1	3	27	12	1	0	1	0
20150417	CHA	AL	9	DET	AL	10	1	2	52	DET05	30	4	0	0	1	1	25	10	1	0	1	0	34	10	3	0	1	2	27	14	0	0	1	0
20150417	ANA	AL	10	HOU	AL	10	6	3	54	HOU03	31	6	0	1	2	6	27	11	1	0	1	0	34	8	1	0	1	3	27	14	0	0	1	0
20150417	OAK	AL	11	KCA	AL	10	4	6	51	KAN06	33	8	2	0	3	4	24	12	0	0	2	0	36	15	1	1	0	6	27	11	0	0	1	0
20150417	CLE	AL	9	MIN	AL	10	2	3	63	MIN04	40	8	1	0	1	1	30	13	2	0	1	0	35	6	0	0	1	2	33	12	0	0	1	0
20150417	TEX	AL	11	SEA	AL	10	3	1	54	SEA03	32	7	3	0	1	3	27	14	0	0	3	0	31	8	1	0	0	1	27	11	1	0	0	0
20150417	NYA	AL	10	TBA	AL	11	5	4	54	STP01	30	5	0	0	3	5	27	7	0	0	1	0	34	8	0	0	2	4	27	7	0	0	1	0
20150417	ATL	NL	10	TOR	AL	11	8	7	54	TOR02	40	12	1	1	2	8	27	11	0	0	0	0	36	11	1	0	5	7	27	7	1	0	0	0
20150417	SDN	NL	11	CHN	NL	9	5	4	54	CHI11	34	8	0	0	2	5	27	7	2	0	0	0	34	7	3	0	0	2	27	11	1	0	2	0
20150417	COL	NL	10	LAN	NL	10	3	7	51	LOS03	34	7	1	0	2	3	24	7	0	0	1	0	32	10	4	0	1	6	27	4	1	1	0	0
20150417	MIA	NL	11	NYN	NL	11	1	4	51	NYC20	33	7	2	0	1	1	24	8	0	0	0	0	29	7	2	0	0	4	27	12	0	0	1	0
20150417	MIL	NL	10	PIT	NL	10	3	6	51	PIT08	34	8	3	0	0	3	24	13	1	1	1	0	32	11	2	0	1	6	27	9	0	0	1	0
20150417	ARI	NL	11	SFN	NL	12	9	0	54	SFO03	44	18	3	1	0	8	27	9	0	0	1	0	30	4	1	0	0	0	27	6	1	1	0	0
20150417	CIN	NL	10	SLN	NL	9	1	6	51	STL10	33	6	1	0	1	1	24	6	1	0	1	0	29	7	4	0	0	6	27	9	2	0	0	0
